id,startLocation_36,traffic_36,x_36,y_36,time_36,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
36,startUp,turnRight,0,11,149,1,0,1,0,0,0,0,0
36,startUp,turnRight,0,10,150,1,0,1,0,0,0,0,0
36,startUp,turnRight,1,10,151,0,1,0,0,0,0,0,0
36,startUp,turnRight,2,10,152,0,1,0,0,0,0,0,0
36,startUp,turnRight,3,10,153,0,1,0,0,0,0,0,0
36,startUp,turnRight,4,10,154,0,1,0,0,0,0,0,0
36,startUp,turnRight,5,10,155,0,1,0,0,0,0,0,0
36,startUp,turnRight,6,10,156,0,1,0,0,0,0,0,0
36,startUp,turnRight,7,10,157,0,0,0,0,0,1,0,0
36,startUp,turnRight,8,10,158,0,0,0,0,0,1,0,0
36,startUp,turnRight,9,10,159,0,0,0,0,0,1,0,0
36,startUp,turnRight,10,10,160,0,0,0,0,0,1,0,0
36,startUp,turnRight,11,10,161,0,0,0,0,0,1,0,0
36,startUp,turnRight,12,10,162,0,0,0,0,0,1,0,0
36,startUp,turnRight,13,10,163,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,10,164,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,9,165,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,9,166,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,9,167,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,9,168,0,0,0,0,0,0,0,1
36,startUp,turnRight,14,9,169,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,8,170,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,7,171,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,6,172,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,5,173,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,4,174,0,0,0,1,0,0,0,0
36,startUp,turnRight,14,3,175,0,0,0,0,1,0,1,0
36,startUp,turnRight,14,2,176,0,0,0,0,1,0,1,0
36,startUp,turnRight,14,1,177,0,0,0,0,1,0,1,0
36,startUp,turnRight,14,0,178,0,0,0,0,1,0,1,0
