id,startLocation_8,traffic_8,x_8,y_8,time_8,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
8,startDown,turnLeft,25,8,37,1,0,1,0,0,0,0,0
8,startDown,turnLeft,24,8,38,1,0,1,0,0,0,0,0
8,startDown,turnLeft,23,8,39,1,0,1,0,0,0,0,0
8,startDown,turnLeft,22,8,40,1,0,1,0,0,0,0,0
8,startDown,turnLeft,21,8,41,1,0,1,0,0,0,0,0
8,startDown,turnLeft,20,8,42,0,1,0,0,0,0,0,0
8,startDown,turnLeft,19,8,43,0,1,0,0,0,0,0,0
8,startDown,turnLeft,18,8,44,0,1,0,0,0,0,0,0
8,startDown,turnLeft,17,8,45,0,1,0,0,0,0,0,0
8,startDown,turnLeft,16,8,46,0,1,0,0,0,0,0,0
8,startDown,turnLeft,16,8,47,0,1,0,0,0,0,0,0
8,startDown,turnLeft,16,8,48,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,49,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,50,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,51,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,52,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,53,0,0,0,0,0,1,0,0
8,startDown,turnLeft,16,8,54,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,55,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,56,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,57,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,58,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,59,0,0,0,0,0,0,0,1
8,startDown,turnLeft,16,8,60,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,61,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,62,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,63,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,64,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,65,0,0,0,1,0,0,0,0
8,startDown,turnLeft,16,8,66,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,8,67,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,7,68,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,6,69,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,5,70,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,4,71,0,0,0,0,1,0,1,0
8,startDown,turnLeft,15,3,72,1,0,1,0,0,0,0,0
8,startDown,turnLeft,15,2,73,1,0,1,0,0,0,0,0
8,startDown,turnLeft,15,1,74,1,0,1,0,0,0,0,0
8,startDown,turnLeft,15,0,75,1,0,1,0,0,0,0,0
