id,startLocation_7,traffic_7,x_7,y_7,time_7,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
7,startLeft,turnRight,12,0,33,0,0,0,0,1,0,1,0
7,startLeft,turnRight,13,0,34,0,0,0,0,1,0,1,0
7,startLeft,turnRight,13,1,35,0,0,0,0,1,0,1,0
7,startLeft,turnRight,13,2,36,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,3,37,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,4,38,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,5,39,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,6,40,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,7,41,1,0,1,0,0,0,0,0
7,startLeft,turnRight,13,7,42,0,1,0,0,0,0,0,0
7,startLeft,turnRight,13,8,43,0,1,0,0,0,0,0,0
7,startLeft,turnRight,13,9,44,0,1,0,0,0,0,0,0
7,startLeft,turnRight,13,10,45,0,1,0,0,0,0,0,0
7,startLeft,turnRight,14,10,46,0,1,0,0,0,0,0,0
7,startLeft,turnRight,15,10,47,0,1,0,0,0,0,0,0
7,startLeft,turnRight,16,10,48,0,0,0,0,0,1,0,0
7,startLeft,turnRight,17,10,49,0,0,0,0,0,1,0,0
7,startLeft,turnRight,18,10,50,0,0,0,0,0,1,0,0
7,startLeft,turnRight,19,10,51,0,0,0,0,0,1,0,0
7,startLeft,turnRight,20,10,52,0,0,0,0,0,1,0,0
7,startLeft,turnRight,21,10,53,0,0,0,0,0,1,0,0
7,startLeft,turnRight,22,10,54,0,0,0,0,0,0,0,1
7,startLeft,turnRight,23,10,55,0,0,0,0,0,0,0,1
7,startLeft,turnRight,24,10,56,0,0,0,0,0,0,0,1
7,startLeft,turnRight,25,10,57,0,0,0,0,0,0,0,1
