id,startLocation_33,traffic_33,x_33,y_33,time_33,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
33,startUp,turnRight,0,11,137,0,0,0,1,0,0,0,0
33,startUp,turnRight,0,10,138,0,0,0,1,0,0,0,0
33,startUp,turnRight,1,10,139,0,0,0,0,1,0,1,0
33,startUp,turnRight,2,10,140,0,0,0,0,1,0,1,0
33,startUp,turnRight,3,10,141,0,0,0,0,1,0,1,0
33,startUp,turnRight,4,10,142,0,0,0,0,1,0,1,0
33,startUp,turnRight,5,10,143,0,0,0,0,1,0,1,0
33,startUp,turnRight,6,10,144,0,0,0,0,1,0,1,0
33,startUp,turnRight,7,10,145,1,0,1,0,0,0,0,0
33,startUp,turnRight,8,10,146,1,0,1,0,0,0,0,0
33,startUp,turnRight,9,10,147,1,0,1,0,0,0,0,0
33,startUp,turnRight,10,10,148,1,0,1,0,0,0,0,0
33,startUp,turnRight,10,10,149,1,0,1,0,0,0,0,0
33,startUp,turnRight,10,10,150,1,0,1,0,0,0,0,0
33,startUp,turnRight,10,10,151,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,152,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,153,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,154,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,155,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,156,0,1,0,0,0,0,0,0
33,startUp,turnRight,10,10,157,0,0,0,0,0,1,0,0
33,startUp,turnRight,11,10,158,0,0,0,0,0,1,0,0
33,startUp,turnRight,12,10,159,0,0,0,0,0,1,0,0
33,startUp,turnRight,13,10,160,0,0,0,0,0,1,0,0
33,startUp,turnRight,14,10,161,0,0,0,0,0,1,0,0
33,startUp,turnRight,14,9,162,0,0,0,0,0,1,0,0
33,startUp,turnRight,14,8,163,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,7,164,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,6,165,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,5,166,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,4,167,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,3,168,0,0,0,0,0,0,0,1
33,startUp,turnRight,14,2,169,0,0,0,1,0,0,0,0
33,startUp,turnRight,14,1,170,0,0,0,1,0,0,0,0
33,startUp,turnRight,14,0,171,0,0,0,1,0,0,0,0
