id,startLocation_13,traffic_13,x_13,y_13,time_13,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
13,startLeft,turnRight,12,0,57,0,0,0,0,0,0,0,1
13,startLeft,turnRight,13,0,58,0,0,0,0,0,0,0,1
13,startLeft,turnRight,13,1,59,0,0,0,0,0,0,0,1
13,startLeft,turnRight,13,2,60,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,3,61,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,4,62,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,5,63,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,6,64,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,7,65,0,0,0,1,0,0,0,0
13,startLeft,turnRight,13,7,66,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,67,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,68,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,69,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,70,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,71,0,0,0,0,1,0,1,0
13,startLeft,turnRight,13,7,72,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,73,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,74,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,75,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,76,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,77,1,0,1,0,0,0,0,0
13,startLeft,turnRight,13,7,78,0,1,0,0,0,0,0,0
13,startLeft,turnRight,13,8,79,0,1,0,0,0,0,0,0
13,startLeft,turnRight,13,9,80,0,1,0,0,0,0,0,0
13,startLeft,turnRight,13,10,81,0,1,0,0,0,0,0,0
13,startLeft,turnRight,14,10,82,0,1,0,0,0,0,0,0
13,startLeft,turnRight,15,10,83,0,1,0,0,0,0,0,0
13,startLeft,turnRight,16,10,84,0,0,0,0,0,1,0,0
13,startLeft,turnRight,17,10,85,0,0,0,0,0,1,0,0
13,startLeft,turnRight,18,10,86,0,0,0,0,0,1,0,0
13,startLeft,turnRight,19,10,87,0,0,0,0,0,1,0,0
13,startLeft,turnRight,20,10,88,0,0,0,0,0,1,0,0
13,startLeft,turnRight,21,10,89,0,0,0,0,0,1,0,0
13,startLeft,turnRight,22,10,90,0,0,0,0,0,0,0,1
13,startLeft,turnRight,23,10,91,0,0,0,0,0,0,0,1
13,startLeft,turnRight,24,10,92,0,0,0,0,0,0,0,1
13,startLeft,turnRight,25,10,93,0,0,0,0,0,0,0,1
