id,startLocation_0,traffic_0,x_0,y_0,time_0,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
0,startLeft,straight,12,0,5,1,0,1,0,0,0,0,0
0,startLeft,straight,12,1,6,0,1,0,0,0,0,0,0
0,startLeft,straight,12,2,7,0,1,0,0,0,0,0,0
0,startLeft,straight,12,3,8,0,1,0,0,0,0,0,0
0,startLeft,straight,12,4,9,0,1,0,0,0,0,0,0
0,startLeft,straight,12,5,10,0,1,0,0,0,0,0,0
0,startLeft,straight,12,6,11,0,1,0,0,0,0,0,0
0,startLeft,straight,12,7,12,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,13,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,14,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,15,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,16,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,17,0,0,0,0,0,1,0,0
0,startLeft,straight,12,7,18,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,19,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,20,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,21,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,22,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,23,0,0,0,0,0,0,0,1
0,startLeft,straight,12,7,24,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,25,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,26,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,27,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,28,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,29,0,0,0,1,0,0,0,0
0,startLeft,straight,12,7,30,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,31,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,32,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,33,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,34,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,35,0,0,0,0,1,0,1,0
0,startLeft,straight,12,7,36,1,0,1,0,0,0,0,0
0,startLeft,straight,12,8,37,1,0,1,0,0,0,0,0
0,startLeft,straight,12,9,38,1,0,1,0,0,0,0,0
0,startLeft,straight,12,10,39,1,0,1,0,0,0,0,0
0,startLeft,straight,12,11,40,1,0,1,0,0,0,0,0
0,startLeft,straight,12,12,41,1,0,1,0,0,0,0,0
0,startLeft,straight,12,13,42,0,1,0,0,0,0,0,0
0,startLeft,straight,12,14,43,0,1,0,0,0,0,0,0
0,startLeft,straight,12,15,44,0,1,0,0,0,0,0,0
0,startLeft,straight,12,16,45,0,1,0,0,0,0,0,0
0,startLeft,straight,12,17,46,0,1,0,0,0,0,0,0
