id,startLocation_22,traffic_22,x_22,y_22,time_22,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
22,startRight,turnLeft,15,17,93,0,0,0,0,0,0,0,1
22,startRight,turnLeft,15,16,94,0,0,0,0,0,0,0,1
22,startRight,turnLeft,15,15,95,0,0,0,0,0,0,0,1
22,startRight,turnLeft,15,14,96,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,13,97,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,12,98,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,12,99,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,12,100,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,12,101,0,0,0,1,0,0,0,0
22,startRight,turnLeft,15,12,102,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,103,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,104,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,105,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,106,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,107,0,0,0,0,1,0,1,0
22,startRight,turnLeft,15,12,108,1,0,1,0,0,0,0,0
22,startRight,turnLeft,15,11,109,1,0,1,0,0,0,0,0
22,startRight,turnLeft,16,11,110,1,0,1,0,0,0,0,0
22,startRight,turnLeft,17,11,111,1,0,1,0,0,0,0,0
22,startRight,turnLeft,18,11,112,1,0,1,0,0,0,0,0
22,startRight,turnLeft,19,11,113,1,0,1,0,0,0,0,0
22,startRight,turnLeft,20,11,114,1,0,1,0,0,0,0,0
22,startRight,turnLeft,21,11,115,0,1,0,0,0,0,0,0
22,startRight,turnLeft,22,11,116,0,1,0,0,0,0,0,0
22,startRight,turnLeft,23,11,117,0,1,0,0,0,0,0,0
22,startRight,turnLeft,24,11,118,0,1,0,0,0,0,0,0
22,startRight,turnLeft,25,11,119,0,1,0,0,0,0,0,0
