id,startLocation_14,traffic_14,x_14,y_14,time_14,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
14,startUp,turnLeft,0,11,61,0,0,0,1,0,0,0,0
14,startUp,turnLeft,1,11,62,0,0,0,1,0,0,0,0
14,startUp,turnLeft,2,11,63,0,0,0,1,0,0,0,0
14,startUp,turnLeft,3,11,64,0,0,0,1,0,0,0,0
14,startUp,turnLeft,4,11,65,0,0,0,1,0,0,0,0
14,startUp,turnLeft,5,11,66,0,0,0,0,1,0,1,0
14,startUp,turnLeft,6,11,67,0,0,0,0,1,0,1,0
14,startUp,turnLeft,7,11,68,0,0,0,0,1,0,1,0
14,startUp,turnLeft,8,11,69,0,0,0,0,1,0,1,0
14,startUp,turnLeft,9,11,70,0,0,0,0,1,0,1,0
14,startUp,turnLeft,10,11,71,0,0,0,0,1,0,1,0
14,startUp,turnLeft,11,11,72,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,11,73,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,12,74,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,13,75,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,14,76,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,15,77,1,0,1,0,0,0,0,0
14,startUp,turnLeft,12,16,78,0,1,0,0,0,0,0,0
14,startUp,turnLeft,12,17,79,0,1,0,0,0,0,0,0
