id,startLocation_26,traffic_26,x_26,y_26,time_26,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
26,startDown,turnLeft,25,8,109,1,0,1,0,0,0,0,0
26,startDown,turnLeft,24,8,110,1,0,1,0,0,0,0,0
26,startDown,turnLeft,23,8,111,1,0,1,0,0,0,0,0
26,startDown,turnLeft,22,8,112,1,0,1,0,0,0,0,0
26,startDown,turnLeft,21,8,113,1,0,1,0,0,0,0,0
26,startDown,turnLeft,20,8,114,1,0,1,0,0,0,0,0
26,startDown,turnLeft,19,8,115,0,1,0,0,0,0,0,0
26,startDown,turnLeft,18,8,116,0,1,0,0,0,0,0,0
26,startDown,turnLeft,17,8,117,0,1,0,0,0,0,0,0
26,startDown,turnLeft,16,8,118,0,1,0,0,0,0,0,0
26,startDown,turnLeft,16,8,119,0,1,0,0,0,0,0,0
26,startDown,turnLeft,16,8,120,0,1,0,0,0,0,0,0
26,startDown,turnLeft,16,8,121,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,122,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,123,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,124,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,125,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,126,0,0,0,0,0,1,0,0
26,startDown,turnLeft,16,8,127,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,128,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,129,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,130,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,131,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,132,0,0,0,0,0,0,0,1
26,startDown,turnLeft,16,8,133,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,134,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,135,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,136,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,137,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,138,0,0,0,1,0,0,0,0
26,startDown,turnLeft,16,8,139,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,8,140,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,7,141,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,6,142,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,5,143,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,4,144,0,0,0,0,1,0,1,0
26,startDown,turnLeft,15,3,145,1,0,1,0,0,0,0,0
26,startDown,turnLeft,15,2,146,1,0,1,0,0,0,0,0
26,startDown,turnLeft,15,1,147,1,0,1,0,0,0,0,0
26,startDown,turnLeft,15,0,148,1,0,1,0,0,0,0,0
