id,startLocation_19,traffic_19,x_19,y_19,time_19,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
19,startDown,straight,25,8,81,0,1,0,0,0,0,0,0
19,startDown,straight,24,8,82,0,1,0,0,0,0,0,0
19,startDown,straight,23,8,83,0,1,0,0,0,0,0,0
19,startDown,straight,22,8,84,0,0,0,0,0,1,0,0
19,startDown,straight,21,8,85,0,0,0,0,0,1,0,0
19,startDown,straight,20,8,86,0,0,0,0,0,1,0,0
19,startDown,straight,19,8,87,0,0,0,0,0,1,0,0
19,startDown,straight,18,8,88,0,0,0,0,0,1,0,0
19,startDown,straight,17,8,89,0,0,0,0,0,1,0,0
19,startDown,straight,16,8,90,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,91,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,92,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,93,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,94,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,95,0,0,0,0,0,0,0,1
19,startDown,straight,16,8,96,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,97,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,98,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,99,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,100,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,101,0,0,0,1,0,0,0,0
19,startDown,straight,16,8,102,0,0,0,0,1,0,1,0
19,startDown,straight,15,8,103,0,0,0,0,1,0,1,0
19,startDown,straight,14,8,104,0,0,0,0,1,0,1,0
19,startDown,straight,13,8,105,0,0,0,0,1,0,1,0
19,startDown,straight,12,8,106,0,0,0,0,1,0,1,0
19,startDown,straight,11,8,107,0,0,0,0,1,0,1,0
19,startDown,straight,10,8,108,1,0,1,0,0,0,0,0
19,startDown,straight,9,8,109,1,0,1,0,0,0,0,0
19,startDown,straight,8,8,110,1,0,1,0,0,0,0,0
19,startDown,straight,7,8,111,1,0,1,0,0,0,0,0
19,startDown,straight,6,8,112,1,0,1,0,0,0,0,0
19,startDown,straight,5,8,113,1,0,1,0,0,0,0,0
19,startDown,straight,4,8,114,1,0,1,0,0,0,0,0
19,startDown,straight,3,8,115,0,1,0,0,0,0,0,0
19,startDown,straight,2,8,116,0,1,0,0,0,0,0,0
19,startDown,straight,1,8,117,0,1,0,0,0,0,0,0
19,startDown,straight,0,8,118,0,1,0,0,0,0,0,0
