id,startLocation_24,traffic_24,x_24,y_24,time_24,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
24,startLeft,turnLeft,12,0,101,0,0,0,1,0,0,0,0
24,startLeft,turnLeft,12,1,102,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,2,103,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,3,104,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,4,105,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,5,106,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,6,107,0,0,0,0,1,0,1,0
24,startLeft,turnLeft,12,6,108,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,12,7,109,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,12,7,110,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,12,8,111,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,11,8,112,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,10,8,113,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,9,8,114,1,0,1,0,0,0,0,0
24,startLeft,turnLeft,8,8,115,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,7,8,116,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,6,8,117,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,5,8,118,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,4,8,119,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,3,8,120,0,1,0,0,0,0,0,0
24,startLeft,turnLeft,2,8,121,0,0,0,0,0,1,0,0
24,startLeft,turnLeft,1,8,122,0,0,0,0,0,1,0,0
24,startLeft,turnLeft,0,8,123,0,0,0,0,0,1,0,0
