id,startLocation_6,traffic_6,x_6,y_6,time_6,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
6,startRight,turnLeft,15,17,29,0,0,0,1,0,0,0,0
6,startRight,turnLeft,15,16,30,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,15,31,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,14,32,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,13,33,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,13,34,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,13,35,0,0,0,0,1,0,1,0
6,startRight,turnLeft,15,13,36,1,0,1,0,0,0,0,0
6,startRight,turnLeft,15,12,37,1,0,1,0,0,0,0,0
6,startRight,turnLeft,15,11,38,1,0,1,0,0,0,0,0
6,startRight,turnLeft,16,11,39,1,0,1,0,0,0,0,0
6,startRight,turnLeft,17,11,40,1,0,1,0,0,0,0,0
6,startRight,turnLeft,18,11,41,1,0,1,0,0,0,0,0
6,startRight,turnLeft,19,11,42,0,1,0,0,0,0,0,0
6,startRight,turnLeft,20,11,43,0,1,0,0,0,0,0,0
6,startRight,turnLeft,21,11,44,0,1,0,0,0,0,0,0
6,startRight,turnLeft,22,11,45,0,1,0,0,0,0,0,0
6,startRight,turnLeft,23,11,46,0,1,0,0,0,0,0,0
6,startRight,turnLeft,24,11,47,0,1,0,0,0,0,0,0
6,startRight,turnLeft,25,11,48,0,0,0,0,0,1,0,0
