id,startLocation_29,traffic_29,x_29,y_29,time_29,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
29,startRight,turnRight,15,17,121,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,17,122,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,16,123,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,15,124,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,14,125,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,13,126,0,0,0,0,0,1,0,0
29,startRight,turnRight,14,13,127,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,128,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,129,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,130,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,131,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,132,0,0,0,0,0,0,0,1
29,startRight,turnRight,14,13,133,0,0,0,1,0,0,0,0
29,startRight,turnRight,14,12,134,0,0,0,1,0,0,0,0
29,startRight,turnRight,14,11,135,0,0,0,1,0,0,0,0
29,startRight,turnRight,14,10,136,0,0,0,1,0,0,0,0
29,startRight,turnRight,14,9,137,0,0,0,1,0,0,0,0
29,startRight,turnRight,13,9,138,0,0,0,1,0,0,0,0
29,startRight,turnRight,12,9,139,0,0,0,0,1,0,1,0
29,startRight,turnRight,11,9,140,0,0,0,0,1,0,1,0
29,startRight,turnRight,10,9,141,0,0,0,0,1,0,1,0
29,startRight,turnRight,9,9,142,0,0,0,0,1,0,1,0
29,startRight,turnRight,8,9,143,0,0,0,0,1,0,1,0
29,startRight,turnRight,7,9,144,0,0,0,0,1,0,1,0
29,startRight,turnRight,6,9,145,1,0,1,0,0,0,0,0
29,startRight,turnRight,5,9,146,1,0,1,0,0,0,0,0
29,startRight,turnRight,4,9,147,1,0,1,0,0,0,0,0
29,startRight,turnRight,3,9,148,1,0,1,0,0,0,0,0
29,startRight,turnRight,2,9,149,1,0,1,0,0,0,0,0
29,startRight,turnRight,1,9,150,1,0,1,0,0,0,0,0
29,startRight,turnRight,0,9,151,0,1,0,0,0,0,0,0
