id,startLocation_39,traffic_39,x_39,y_39,time_39,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
39,startLeft,turnRight,12,0,161,0,0,0,0,0,1,0,0
39,startLeft,turnRight,13,0,162,0,0,0,0,0,1,0,0
39,startLeft,turnRight,13,1,163,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,2,164,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,3,165,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,4,166,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,5,167,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,6,168,0,0,0,0,0,0,0,1
39,startLeft,turnRight,13,7,169,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,170,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,171,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,172,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,173,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,174,0,0,0,1,0,0,0,0
39,startLeft,turnRight,13,7,175,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,176,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,177,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,178,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,179,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,180,0,0,0,0,1,0,1,0
39,startLeft,turnRight,13,7,181,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,182,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,183,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,184,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,185,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,186,1,0,1,0,0,0,0,0
39,startLeft,turnRight,13,7,187,0,1,0,0,0,0,0,0
39,startLeft,turnRight,13,8,188,0,1,0,0,0,0,0,0
39,startLeft,turnRight,13,9,189,0,1,0,0,0,0,0,0
39,startLeft,turnRight,13,10,190,0,1,0,0,0,0,0,0
39,startLeft,turnRight,14,10,191,0,1,0,0,0,0,0,0
39,startLeft,turnRight,15,10,192,0,1,0,0,0,0,0,0
39,startLeft,turnRight,16,10,193,0,0,0,0,0,1,0,0
39,startLeft,turnRight,17,10,194,0,0,0,0,0,1,0,0
39,startLeft,turnRight,18,10,195,0,0,0,0,0,1,0,0
39,startLeft,turnRight,19,10,196,0,0,0,0,0,1,0,0
39,startLeft,turnRight,20,10,197,0,0,0,0,0,1,0,0
39,startLeft,turnRight,21,10,198,0,0,0,0,0,1,0,0
39,startLeft,turnRight,22,10,199,0,0,0,0,0,0,0,1
39,startLeft,turnRight,23,10,200,0,0,0,0,0,0,0,1
39,startLeft,turnRight,24,10,201,0,0,0,0,0,0,0,1
39,startLeft,turnRight,25,10,202,0,0,0,0,0,0,0,1
