id,startLocation_27,traffic_27,x_27,y_27,time_27,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
27,startDown,straight,25,8,113,1,0,1,0,0,0,0,0
27,startDown,straight,24,8,114,1,0,1,0,0,0,0,0
27,startDown,straight,23,8,115,0,1,0,0,0,0,0,0
27,startDown,straight,22,8,116,0,1,0,0,0,0,0,0
27,startDown,straight,21,8,117,0,1,0,0,0,0,0,0
27,startDown,straight,20,8,118,0,1,0,0,0,0,0,0
27,startDown,straight,19,8,119,0,1,0,0,0,0,0,0
27,startDown,straight,18,8,120,0,1,0,0,0,0,0,0
27,startDown,straight,17,8,121,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,122,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,123,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,124,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,125,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,126,0,0,0,0,0,1,0,0
27,startDown,straight,17,8,127,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,128,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,129,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,130,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,131,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,132,0,0,0,0,0,0,0,1
27,startDown,straight,17,8,133,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,134,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,135,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,136,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,137,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,138,0,0,0,1,0,0,0,0
27,startDown,straight,17,8,139,0,0,0,0,1,0,1,0
27,startDown,straight,16,8,140,0,0,0,0,1,0,1,0
27,startDown,straight,15,8,141,0,0,0,0,1,0,1,0
27,startDown,straight,14,8,142,0,0,0,0,1,0,1,0
27,startDown,straight,13,8,143,0,0,0,0,1,0,1,0
27,startDown,straight,12,8,144,0,0,0,0,1,0,1,0
27,startDown,straight,11,8,145,1,0,1,0,0,0,0,0
27,startDown,straight,10,8,146,1,0,1,0,0,0,0,0
27,startDown,straight,9,8,147,1,0,1,0,0,0,0,0
27,startDown,straight,8,8,148,1,0,1,0,0,0,0,0
27,startDown,straight,7,8,149,1,0,1,0,0,0,0,0
27,startDown,straight,6,8,150,1,0,1,0,0,0,0,0
27,startDown,straight,5,8,151,0,1,0,0,0,0,0,0
27,startDown,straight,4,8,152,0,1,0,0,0,0,0,0
27,startDown,straight,3,8,153,0,1,0,0,0,0,0,0
27,startDown,straight,2,8,154,0,1,0,0,0,0,0,0
27,startDown,straight,1,8,155,0,1,0,0,0,0,0,0
27,startDown,straight,0,8,156,0,1,0,0,0,0,0,0
