id,startLocation_34,traffic_34,x_34,y_34,time_34,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
34,startUp,straight,0,11,141,0,0,0,0,1,0,1,0
34,startUp,straight,1,11,142,0,0,0,0,1,0,1,0
34,startUp,straight,2,11,143,0,0,0,0,1,0,1,0
34,startUp,straight,3,11,144,0,0,0,0,1,0,1,0
34,startUp,straight,4,11,145,1,0,1,0,0,0,0,0
34,startUp,straight,5,11,146,1,0,1,0,0,0,0,0
34,startUp,straight,6,11,147,1,0,1,0,0,0,0,0
34,startUp,straight,7,11,148,1,0,1,0,0,0,0,0
34,startUp,straight,8,11,149,1,0,1,0,0,0,0,0
34,startUp,straight,9,11,150,1,0,1,0,0,0,0,0
34,startUp,straight,10,11,151,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,152,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,153,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,154,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,155,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,156,0,1,0,0,0,0,0,0
34,startUp,straight,11,11,157,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,158,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,159,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,160,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,161,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,162,0,0,0,0,0,1,0,0
34,startUp,straight,11,11,163,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,164,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,165,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,166,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,167,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,168,0,0,0,0,0,0,0,1
34,startUp,straight,11,11,169,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,170,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,171,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,172,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,173,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,174,0,0,0,1,0,0,0,0
34,startUp,straight,11,11,175,0,0,0,0,1,0,1,0
34,startUp,straight,12,11,176,0,0,0,0,1,0,1,0
34,startUp,straight,13,11,177,0,0,0,0,1,0,1,0
34,startUp,straight,14,11,178,0,0,0,0,1,0,1,0
34,startUp,straight,15,11,179,0,0,0,0,1,0,1,0
34,startUp,straight,16,11,180,0,0,0,0,1,0,1,0
34,startUp,straight,17,11,181,1,0,1,0,0,0,0,0
34,startUp,straight,18,11,182,1,0,1,0,0,0,0,0
34,startUp,straight,19,11,183,1,0,1,0,0,0,0,0
34,startUp,straight,20,11,184,1,0,1,0,0,0,0,0
34,startUp,straight,21,11,185,1,0,1,0,0,0,0,0
34,startUp,straight,22,11,186,1,0,1,0,0,0,0,0
34,startUp,straight,23,11,187,0,1,0,0,0,0,0,0
34,startUp,straight,24,11,188,0,1,0,0,0,0,0,0
34,startUp,straight,25,11,189,0,1,0,0,0,0,0,0
