id,startLocation_17,traffic_17,x_17,y_17,time_17,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
17,startDown,turnRight,25,8,73,1,0,1,0,0,0,0,0
17,startDown,turnRight,25,9,74,1,0,1,0,0,0,0,0
17,startDown,turnRight,24,9,75,1,0,1,0,0,0,0,0
17,startDown,turnRight,23,9,76,1,0,1,0,0,0,0,0
17,startDown,turnRight,22,9,77,1,0,1,0,0,0,0,0
17,startDown,turnRight,21,9,78,0,1,0,0,0,0,0,0
17,startDown,turnRight,20,9,79,0,1,0,0,0,0,0,0
17,startDown,turnRight,19,9,80,0,1,0,0,0,0,0,0
17,startDown,turnRight,18,9,81,0,1,0,0,0,0,0,0
17,startDown,turnRight,17,9,82,0,1,0,0,0,0,0,0
17,startDown,turnRight,16,9,83,0,1,0,0,0,0,0,0
17,startDown,turnRight,16,9,84,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,85,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,86,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,87,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,88,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,89,0,0,0,0,0,1,0,0
17,startDown,turnRight,16,9,90,0,0,0,0,0,0,0,1
17,startDown,turnRight,15,9,91,0,0,0,0,0,0,0,1
17,startDown,turnRight,14,9,92,0,0,0,0,0,0,0,1
17,startDown,turnRight,13,9,93,0,0,0,0,0,0,0,1
17,startDown,turnRight,13,10,94,0,0,0,0,0,0,0,1
17,startDown,turnRight,13,11,95,0,0,0,0,0,0,0,1
17,startDown,turnRight,13,12,96,0,0,0,1,0,0,0,0
17,startDown,turnRight,13,13,97,0,0,0,1,0,0,0,0
17,startDown,turnRight,13,14,98,0,0,0,1,0,0,0,0
17,startDown,turnRight,13,15,99,0,0,0,1,0,0,0,0
17,startDown,turnRight,13,16,100,0,0,0,1,0,0,0,0
17,startDown,turnRight,13,17,101,0,0,0,1,0,0,0,0
